MT-TF	TrnF,RF00005,TRNF,TRNA,MTTF
COX6CP15	--
RNA5SP321	RN5S321
TAAR3P	GPR57,TAAR3,HTaar3,GPR58,TAAR2,TaR-3
CEACAMP7	CGM14,CEACAM28P
TRPM4	Melastatin-4,FLJ20041,LTrpC4,HTRPM4,LTrpC-4,PFHB1B,TRPM4B,LTRPC4,EKVP6
PPIL6	BA425D10.6,DJ919F19.1,RSPH12,MGC41939,PPIase
KCNMA1	KCa1.1,MSLO1,SLO,K(VCA)Alpha,MaxiK,HSlo,BA205K10.1,SLO-ALPHA,Slo-Alpha,CADEDS,IEG16,LIWAS,PNKD3,SAKCA,KCNMA,BKTM,SLO1,Slo1
RB1CC1	FIP200,KIAA0203,PPP1R131,ATG17,DRAGOU14,Cc1,RBICC,CC1
LINC02042	NONHSAG035746.2,HSALNG0028061,LINC02042
DOCK7	KIAA1771,ZIR2,EIEE23,DEE23
PSMC1P1	Bcm3415,PSMC1P
ADPRH	ARH1,HARH1
XPA	XPAC,XP1
MIR217HG	MIR216AHG,MIR216BHG,NONHSAG027820.2,HSALNG0015059,MIR217HG
WBP1P1	--
NSMF	NELF,HH9
LINC02032	NONHSAG036327.2,HSALNG0029676,LINC02032
CAPG	MCP,AFCP,HEL-S-66
LINC02044	NONHSAG035755.2,LINC02044
LINC02034	NONHSAG035997.2,HSALNG0028748,LINC02034
FKBP1AP4	FKBP1P4,FKBP12
HNRNPA3P6	--
LSAMP-AS1	NONHSAG035803.2,HSALNG0028218,LSAMP-AS1
LINC02029	NONHSAG036486.2,HSALNG0030091,LINC02029
SIDT1-AS1	NONHSAG035763.2,HSALNG0028107,SIDT1-AS1
CDKL3	NKIAMRE
RPL21P39	RPL21_14_415
IL20RB-AS1	NONHSAG036177.2,HSALNG0029191,IL20RB-AS1
SULF2	KIAA1247,HSULF-2,SULF-2,HSulf-2
CACNG5	--
LINC00881	NONHSAG036487.2,HSALNG0030091,LINC00881
FLJ42969	NONHSAG050908.2,HSALNG0067332,Lnc-GRHL2-8
NME1-NME2	NM23-LV,NMELV
ZIC1	ZNF201,ZIC,BAIDCS,CRS6
CPA6	CPAH,FEB11,ETL5
PRKN	Parkin,AR-JP,PARK2,PDJ,LPRS2
CD86	CD28LG2,B7.2,B7-2,FUN-1,BU63,B70,LAB72
ETS1-AS1	PancEts-1,NONHSAG010015.2,HSALNG0088103,Lnc-FLI1-2
PTP4A2P2	PTP4AP2
LINC02714	NONHSAG010114.2,HSALNG0088413,Lnc-GLB1L2-4
HMGN1P17	--
DNAJB6P1	--
LINC02717	HSALNG0088428
LINC01339	NONHSAG040987.2,HSALNG0043402,HSALNG0043395,HSALNG0043403,Lnc-CETN3-5,LINC01339
VPS26B	Pep8b,MGC10485
RNFT1	PTD016
EML5	EMAP-2,FAP16,HuEMAP-2,EMAP-5
CYCSP23	HCP23
ODF1	HSPB10,ODFPG,ODF27,CT133,RT7,ODFP,ODFPGA,ODFPGB,HspB10,ODF2,SODF,ODF
KRT8P23	--
HIVEP2	HIV-EP2,MBP-2,Schnurri-2,ZNF40B,MIBP1,ZAS2,MRD43,SHN2
SCAF11	CASP11,SIP1,SRRP129,SFRS2IP,SRSF2IP,SRrp129
ATG10-AS1	NONHSAG040883.2,HSALNG0043057,ATG10-AS1
KRT18P16	--
RBBP4P6	--
C5orf66-AS1	C5orf66-AS1,CTC-276P9.1,Epist,NONHSAG041602.2,HSALNG0045015
C15orf40	MGC29937
CTHRC1	--
S100Z	S100-Zeta,Gm625
SYNPO2	Synaptopodin-2,Genethonin-2,MYOPODIN,Myopodin
HMGCS1	HMGCS
WFDC21P	Lnc-DC,LNCDC,LOC645638,Linc-DC
MTHFD2P2	--
MLIP-AS1	NONHSAG043975.2,HSALNG0050708,MLIP-AS1
CLSTN2-AS1	NONHSAG036226.2,HSALNG0029354,CLSTN2-AS1
NDUFA5P2	--
RPL18P11	RPL18_4_1455
TBX2	VETD
C6orf163	--
RPS10P16	RPS10_4_945
MED30	TRAP25,THRAP6,MED30S,Trap25
PPP1R10P1	PPP1R10P
LINC02725	HSALNG0088083,Lnc-FLI1-6
EFL1	FAM42A,HsT19294,EFTUD1,RIA1,FLJ13119,SDS2
DINOL	DINO,HSALNG0049760,Lnc-CPNE5-6
PERP	KRTCAP1,PIGPC1,KCP1,THW,DJ496H19.1,KCP-1,1110017A08Rik,EKVP7,OLMS2
NXPE2	FAM55B,FLJ25224
UST	2OST,DS2ST
CXCL1P1	MGSAP,GRO1P,GROP,CXCL1P,SCYB1P
RAC1P5	Psi1Rac1
FAM118B	FLJ21103
PPIAP76	--
VAMP9P	TCONS_00008138
GABRR1	--
MUC7	MG2,FLJ27047,Mucin-7,Apo-MG2,MUC-7
MAP2K6	SAPKK3,MEK6,MKK6,MAPKK6,PRKMK6,SAPKK-3,SKK3
RPS20P20	RPS20_11_915
PHLDB3	FLJ40193
MAP1B	PPP1R102,MAP5,FUTSCH,MAP-1B,PVNH9
RAD21	HHR21,SCC1,KIAA0078,Kleisin,NXP-1,HR21,NXP1,HRAD21,CDLS4,MCD1,MGS
RXYLT1-AS1	TMEM5-AS1,NONHSAG011518.2,HSALNG0091909,RXYLT1-AS1
ENPP7P5	--
LINC02445	NONHSAG011700.2,HSALNG0092424,LINC02445
PRSS12	Neurotrypsin,BSSP-3,MRT1,Motopsin,Leydin,BSSP3
SCAI	C9orf126,NET40,FLJ36664
AEBP2	MGC17922
ULBP3	RAET1N,ALCAN-Gamma,NKG2DL3,N2DL-3,N2DL3
SLC35A1	CMPST,HCST,CMP-Sia-Tr,CMP-SA-Tr,CDG2F,CST
GLDCP1	GLDCP
NDST4	NDST-4,N-HSST,NHSST4,HSST4
RNU4-92P	--
MPPE1P1	MPPE1P
TTC8	BBS8,RP51
CHMP4AP1	--
NDUFB4P7	--
PBX2P1	PBXP1,PBX2
HMGN1P10	--
SUCNR1	GPR91
OCLNP1	--
USP39	SNRNP65,CGI-21,SAD1,65K,HSPC332
SLC25A2	ORNT2,ORC2
NDUFB4	B15,CI-B15
ZNF875	HKR1
MAN2A2	MANA2X,HsT19662
LINC02224	BRCAT107,ENST00000505706,NONHSAG040325.2,HSALNG0041549,LINC02224
ASIP	ASP,AGTIL,AGTI,SHEP9,AGSW
GDF9	POF14,GDF-9
USP53	KIAA1350
BSX	BSX1
MACROD2	C20orf133,DJ631M13.5,C2orf133
CEP70	BITE,FLJ13036,Cep70
LINC02743	NONHSAG010089.2,HSALNG0088333,Lnc-SPATA19-9
LINC02551	RP11-890B15.2,NONHSAG010061.2,HSALNG0088252,LINC02551
CNTNAP3B	CASPR3B
MTND4LP19	--
PITPNC1	RDGB-BETA,RDGBB1,RDGBB,M-RDGB-Beta,MRDGBbeta,MrdgBbeta,RdgBbeta
LINC00326	NCRNA00326,NONHSAG044869.2,HSALNG0053574,HSALNG0053573,HSALNG0053566,LINC00326
GLULP3	GLULL3
TH2LCRR	TH2-LCR,NONHSAG041529.2,HSALNG0044864,TH2LCRR
LINC02684	NONHSAG010117.2,HSALNG0088428,Lnc-B3GAT1-3
LINC02695	HSALNG0086221
LINC02712	NONHSAG010007.2,Lnc-ST3GAL4-10,HSALNG0088054
ARHGEF9-IT1	NONHSAG054638.2,HSALNG0138234,ARHGEF9-IT1
RMST	NCRNA00054,LINC00054,NCRMS,NONHSAG012015.2,HSALNG0093342,HSALNG0093320,HSALNG0093345,HSALNG0093346,RMST
PANX3	Pannexin-3,Px3,PX3
BTF3P8	--
ESM1	ESM-1,Endocan
MIR1468	Hsa-Mir-1468,Hsa-MiR-1468-5p,MIRN1468,MIMAT0026638,MIMAT0006789,MI0003782,Mir-1468
MECP2	MRX16,MRX79,RTT,AUTSX3,MRXS13,MRXSL,MeCp2,PPMX,RTS,RS
LINCADL	Linc-ADAL,NONHSAG041305.2,HSALNG0044293,Lnc-LVRN-1,LINC-ADAL
LAMTOR3P2	--
LINC01625	TCONS_00011139,NONHSAG044991.2,HSALNG0053881,HCG1786283,LINC01625
COQ10BP2	--
ROBO4	ECSM4,MRB,FLJ20798,AOVD3
PSD2-AS1	NONHSAG041710.2,HSALNG0045274,CTB-35F21.2,PSD2-AS1
ZNF467	Zfp467,EZI
LINC01950	NONHSAG041186.2,HSALNG0043993,CTC-254B4.1,LINC01950
FAM8A6P	--
LINC01258	NONHSAG037761.2,HSALNG0033877,LINC01258
LINC00271	NCRNA00271,C6orf217,NONHSAG044916.2,HSALNG0053678,HSALNG0053687,LINC00271
LINC01332	TCONS_00009701,NONHSAG040719.2,HSALNG0042670,LINC01332
PRELID3BP8	--
CRHBP	CRF-BP,CRFBP,CRH-BP
ACTR6P1	--
CUL4AP1	--
DLGAP4	SAPAP4,DAP4,KIAA0964,SAPAP-4,DAP-4,DLP4
CIR1P2	--
PRKCA	PKCA,PKC-Alpha,PRKACA,PKC-A,PKCalpha,PKCI+/-,PKCÎ±,PKCα,AAG6
H3P15	--
LINC02531	NONHSAG044373.2,HSALNG0051987,LINC02531
UGT2A3P7	--
TINAG-AS1	NONHSAG043979.2,HSALNG0050722,Lnc-KLHL31-4
HEBP2	SOUL,C6orf34,PP23,C6ORF34B
TUBAP10	--
RDH10	SDR16C4
UBE2H	UBCH,UBC8,GID3,E2-20K,UBCH2,UbcH2
RHOH	TTF,ARHH
SLC6A21P	SLC6A21
ATF1P1	--
CHCHD2P4	--
ZNF8-ERVK3-1	NONHSAG026716.2,HSALNG0127945,Lnc-ZNF8-4
CAHM	LINC00468,NONHSAG045349.2,HSALNG0054937,CAHM
LUADT1	NONHSAG045093.2,HSALNG0054158,LUADT1
FOSB	G0S3,GOSB,GOS3,AP-1,DKFZp686C0818,MGC42291
AKAP12	AKAP250,SSeCKS,Gravin,AKAP-12
WASHC5	KIAA0196,Strumpellin,SPG8,RTSC1,RTSC
RGMB	DRAGON,FLJ90406
PLXNC1	VESPR,CD232,Plexin-C1,PLXN-C1
INF2	C14orf151,C14orf173,MGC13251,CMTDIE,Pp9484,FSGS5
NFE2L1-DT	NONHSAG022065.2,HSALNG0117064,Lnc-COPZ2-1
LINC01626	NONHSAG044107.2,HSALNG0051178,LINC01626
SEPTIN7P12	--
NUDT19P3	--
ARMC2-AS1	Lnc-SESN1-6
RAET1L	ULBP6
ACTBP4	--
LINC01170	NONHSAG041398.2,NONHSAG041396.2,HSALNG0044562,HSALNG0044580,LINC01170
CCL28	SCYA28,MEC,CCK1
NKIRAS2	KappaB-Ras2,KBRAS2,DKFZP434N1526
HOMER2	Cupidin,HOMER-2,DFNA68,CPD,HOMER-2B,HOMER-2A,Vesl-2,Homer-2,VESL-2,ACPD
TTK	MPS1L1,MPS1,CT96,MPH1,PYT,ESK
CDR1	CDR34,CDR62A,CDR
GAGE12H	OTTHUMG00000024149,GAGE-12H
ANKRD55	FLJ11795
CEP78	C9orf81,FLJ12643,CRDHL,Cep78,IP63
ZCCHC18	PNMA7B,SIZN2
CSTL1	DJ322G13.4,CTES1,RCET11
THY1-AS1	RP11-334E6.12,NONHSAG009826.2,HSALNG0087650,Lnc-RNF26-2
ZNF543	DKFZp434H055
PTPRZ1	Phosphacan,PTP18,RPTPB,PTPRZ,PTPZ,R-PTP-Zeta-2,R-PTP-Zeta,HPTPzeta,PTP-ZETA,RPTPbeta,HTPZP2,PTPRZ2,HPTPZ
DRD2	D2DR,D2R
PAGE5	PAGE-5,CT16.1,CT16.2,GAGEE1,CT16
SUMO1P4	--
ZNF133	PHZ-13,PHZ-66,ZNF150
CCDC85A	KIAA1912
LINC01143	NONHSAG028129.2,HSALNG0015841,LINC01143
TRPC7-AS1	NONHSAG041631.2,HSALNG0045087,TRPC7-AS1
CTNNA1P1	CTNNAP1
DHFRP3	--
CNN2P11	--
BRCC3	BRCC36,C6.1A,CXorf53
SPATA9	NYD-SP16,FLJ35906,CTD-2154I11.2
LARP1B	LARP2,DKFZp686E0316,DKFZp434K245,FLJ10378
LINC01793	NONHSAG027844.2,HSALNG0015132,LINC01793
CCDC12P1	--
ISL2	FLJ10160,Islet-2
IGKV2OR2-1	IGKV2/OR2-1A,IGKV2/OR2-1,IGKV2OR2-1A,IGKV2OR21A,IGKV2OR21
PMIS2	IFITMD9
LINC02845	NONHSAG050926.2,HSALNG0067374,Lnc-ZNF706-4
ETHE1	HSCO,YF13H12
RGS20	RGSZ1,ZGAP1,G(Z)GAP,Gz-GAP
ATG12P1	ATG12P
LINC02073	NONHSAG022231.2,HSALNG0117380,HSALNG0117386,LINC02073
C2orf92	LINC01125
OR7H2P	--
SEMA6A-AS1	NONHSAG041317.2,Lnc-COMMD10-14,HSALNG0044316,CTB-118N6.3,SEMA6A-AS1
RORA-AS1	NONHSAG017074.2,HSALNG0106346,RORA-AS1
ARL15	ARFRP2,FLJ20051
ZSWIM9	C19orf68,LOC374920
RAD51-AS1	TODRA,NONHSAG016610.2,HSALNG0105273,RAD51-AS1
KCCAT198	NONHSAG012156.2,HSALNG0093697,Lnc-APPL2-1
SPATA20	SSP411,Tisp78,FLJ21347,HEL-S-98,Ssp411
PPIAP45	--
MKRN9P	MKRN9,RNF65,ZNF127L3,MKRNP6,MKRN5
TYRO3P	--
MYF6	BHLHc4,MRF4,Myf-6,Herculin,BHLHC4,CNM3
PDE8A	HsT19550
GUSBP9	--
KLK8	TADG14,Ovasin,Neuropsin,PRSS19,HNP,Kallikrein-8,NRPN,NP,HK8
PTCD2	FLJ12598,CTC-365E16.1
MTERF2	MTERFD3,MTERF-Like,FLJ14062,MTERFL,MTERF2
KCTD21	KCASH2
LINC02045	NONHSAG036330.2,HSALNG0029679,LINC02045
FNTAP1	FNTAL1
ELOCP22	TCEB1P22
OR2AT4	OR11-265
METAP2	MNPEP,MAP2,P67,P67eIF2,P67EIF2
PJA1	RNF70,FLJ11830,PRAJA1,Praja1
SPTBN1-AS1	SPTBN1-AS2,NONHSAG027778.2,HSALNG0014962,Lnc-TSPYL6-2
SIX3-AS1	SIX3OS,NONHSAG027635.2,HSALNG0014614,SIX3-AS1
HEPACAM	FLJ25530,GLIALCAM,GlialCAM,HEPN1,MLC2A,MLC2B
TMCC1-DT	TMCC1-AS1,NONHSAG036068.2,HSALNG0028920,HSALNG0028917
RBX1P1	--
RPL7P16	RPL7_5_405
PPIAP72	--
VN2R1P	GPRC2B,CASRL1
LZTS3	ProSAPiP1,KIAA0552,PROSAPIP1
MTCO1P4	--
KCNAB1-AS1	NONHSAG036472.2,HSALNG0030050,KCNAB1-AS1
RPL21P71	RPL21_12_416
TMEM255A	FAM70A,FLJ20716
GALNT14	GalNac-T10,GalNac-T14,FLJ12691,GalNAc-T14,GALNT15
PDCL3P2	--
CPHL1P	CPHL1
RPL30P16	--
H2AZP2	H2AFZP2
RNF19A	Dorfin,RNF19,DKFZp566B1346,P38
TMEM74B	C20orf46,FLJ11190
SLC9A9-AS1	NONHSAG036282.2,HSALNG0029511,SLC9A9-AS1
PTPRA	PTPRL2,HPTPA,RPTPA,HLPR,PTPA,LRP,R-PTP-Alpha,PTPase-Alpha,HPTPalpha,HEPTP
PPM1L	PP2CE,PP2C-Epsilon,PP2Cepsilon,PPM1-LIKE
ARID1B	P250R,DAN15,KIAA1235,ELD/OSA1,6A3-5,BAF250b,BAF250B,OSA2,BRIGHT,MRD12,HOsa2,CSS1
ZNF229	--
SLC15A2	PEPT2
TRMT10BP1	--
RIMS2	RIM2,KIAA0751,RAB3IP3,OBOE,CRSDS
OTUD5	DUBA,DKFZp761A052,MCAND
AUH	--
MCUB	CCDC109B,FLJ20647,MCUb
LINC02391	NONHSAG011896.2,HSALNG0093053,LINC02391
GDA	P51-Nedasin,GAH,KIAA1258,GUANASE,NEDASIN,Guanase,CYPIN
ELOCP32	TCEB1P32
GTSF1	FAM112B,Cue110,FLJ32942
ZNF528	KIAA1827
LINC02379	NONHSAG038832.2,HSALNG0036992,LINC02379
GAPDHP56	--
TERF1P3	--
LINC02479	NONHSAG038871.2,HSALNG0037163,LINC02479
OSTC	DC2
ARHGAP31	CDGAP,KIAA1204,AOS1
OR2AT1P	--
AAMDC	C11orf67,PTD015,CK067,FLJ21035
TAF7L	CT40,TAF2Q
RTN2	NSPL1,NSP2,Reticulon-2,NSPLI,SPG12
FER	TYK3,PPP1R74,P94-Fer
CWH43	PGAP2IP,CWH43-C,FLJ21511
MON2	KIAA1040,SF21
SEC61A1	SEC61A,ADTKD5,HSEC61,HNFJ4,SEC61
RAD21L1	RAD21L,DJ545L17.2
TRPC5OS	TRPC5-AS1
HNRNPCP3	--
DUXAP6	--
THBS4-AS1	NONHSAG040839.2,CTD-2201I18.1,HSALNG0042960,Lnc-SERINC5-1
IGKV1OR2-6	IGKV1/OR2-6,IGKV1OR26
INTS6L	DDX26B,FLJ41215
LINC01965	NONHSAG028782.2,HSALNG0017490,LINC01965
LINC01023	NONHSAG041201.2,HSALNG0044042,CTC-329H14.4,LINC01023,HP07349
DNM1	DNM,Dynamin-1,EIEE31,DEE31
PPIC-AS1	NONHSAG041387.2,HSALNG0044523,Lnc-SNX24-1
NEIL1	FPG1,HFPG1,NEI1,FLJ22402,NEH1
CNOT11	C2orf29,C40
LINC02764	NONHSAG009633.2,HSALNG0087207,Lnc-PLET1-1
DUXAP5	--
PKNOX2	PREP2
TACR1	NK1R,SPR,TAC1R,NKIR,NK-1R
RPL5P12	RPL5_4_502
CP	Ferroxidase,CP-2
ZNF831	C20orf174,DJ492J12.1
HMGB3P15	--
CDC42P4	--
RPL34-DT	RP11-462C24.1,RPL34-AS1,FLJ37673,NONHSAG038598.2,HSALNG0036288
CBFA2T2	MTGR1,ZMYND3,EHT,P85
TECRP2	--
BRI3	PRGR2,I3
SLC8A1	NCX1,CNC
NDST3	HSST3,HNDST-3,NDST-3
TTYH2	C17orf29,HTTY2
ZFX	ZNF926
CFL2	NEM7,Cofilin-2
YBX1P2	TCAG_1818537
AKR1B15	AKR1B10L,AKR1R1B7
ZNF575	FLJ32567
PLA2G4E-AS1	Lnc-JMJD7-PLA2G4B-11,NONHSAG016668.2,HSALNG0105399
NEXN-AS1	C1orf118,FLJ90637,NONHSAG001876.2,HSALNG0004596,NEXN-AS1
MINAR1	KIAA1024,UBTOR
SLFNL1-AS1	NONHSAG001180.2,HSALNG0002928
NEGR1	IGLON4,KILON,Ntra,Neurotractin,MGC46680,DMML2433
ZNF285B	--
KLK9	KLK-L3,Kallikrein-9,KLKL3
GIMAP7	IAN7,MGC27027,IAN-7,HIAN7
TMC3-AS1	NONHSAG017628.2,HSALNG0107648,HSALNG0107650,HSALNG0107651,Lnc-IL16-13,Lnc-IL16-12,Lnc-IL16-11,TMC3-AS1
SEC24D	KIAA0755,CLCRP2
UQCRFS1	RISP,UQCR5,RIS1,RIP1,MC3DN10
RPL36AP10	RPL36A_1_70
LINC01712	NONHSAG001931.2,HSALNG0004765,LINC01712
VN1R104P	--
DPPA5P1	--
PSG11	PSG13,PSG14,PS-Beta-G-11,PS-Beta-G-13,MGC22484,PSBG-11,PSBG-13
SLC37A3	DKFZp761N0624,SPX3
FAF1	UBXD12,UBXN3A,HFAF1,CGI-03,HFAF1s
SNORA30	SNORA30A,ACA30,RF00415,SNODB76,SNORA30
TMEM265	IFITMD8
GCH1	GTPCH1,DYT5a,DYT5,GCH,GTP-CH-I,DYT14,GTP-CH-1,HPABH4B
LINC02704	NONHSAG008149.2,Lnc-TP53I11-4,HSALNG0083894
PHKG2	PHK-Gamma-LT,PHK-Gamma-T,PSK-C3,GSD9C
ESAM	W117m,2310008D05Rik
SLC6A16	NTT5,CTC-301O7.4,NT5
PPM1B	PP2CB,PPC2BETAX,PP2CBETA,PP2C-Beta,PP2C-Beta-X
LINC02058	NONHSAG041020.2,HSALNG0043482,LINC02058
SEC11A	SPCS4A,SPC18,Sid2895,SEC11L1,1810012E07Rik
SCAMP1-AS1	NONHSAG040804.2,CTD-2037K23.2,HSALNG0042878,SCAMP1-AS1
ABCA9-AS1	NONHSAG022611.2,HSALNG0118391,ABCA9-AS1
CCT5P1	CCT5-3P
RBX1P2	--
SSX1	CT5.1,SSRC
MTCYBP18	--
WNT8A	WNT8D,WNT8d
RAB2A	RAB2,LHX
ZNF81	HFZ20,MRX45,DJ54B20.6
DPF2	Ubi-D4,REQ,BAF45d,BAF45D,UBID4,CSS7
MID2	TRIM1,RNF60,FXY2,MRX101,Midline-2,Midin-2
MARCHF3	MARCH-III,RNF173,MARCH3,MGC48332
TUBB8P2	--
ERVK3-1	HERV-K(HML6-1),NONHSAG026716.2,HSALNG0127945,Lnc-ZNF8-4
HMGB3P19	--
KIAA0408	--
CEACAMP8	CGM15,CEACAM29P
RPL5P17	RPL5_8_591
FKRP	LGMD2I,MDC1C,FKTR,LGMDR9,MDDGA5,MDDGB5,MDDGC5
GCATP1	GCATP
LINC02208	HRAT56,NONHSAG041336.2,CTD-2281M20.1,HSALNG0044362,LINC02208
CLDN18	Claudin-18,SFTPJ,SFTA5
HSPE1P2	HSPEP2
RNU6-597P	--
RNU6-1162P	--
MGC16275	NONHSAG022690.2,HSALNG0118635,CTD-2514K5.2,Lnc-BTBD17-3
TPT1P4	--
HSPD1P10	HSPD1-4P
MTCO1P56	--
FAAH	FAAH-1,FAAH1,PSAB
SMPD2	NSMase,ISC1,Lyso-PAF-PLC,N-SMase,NSMASE1,NSMase1,NSMASE
PSD2	EFA6C,DKFZp761B0514
CCDC189	C16orf93,MGC104706
ACTL10	C20orf134,DJ63M2.2
TPM3P2	DJ1125A11.2,TPM5P
PIGPP3	--
RALY-AS1	NONHSAG031639.2,HSALNG0129682,RALY-AS1
ADHFE1	FLJ32430,HOT,HMFT2263,ADHFe1,ADH8
TOM1L1	SRCASM
PDZD11	PDZK11,AIPP1,PISP
DBR1	--
SYNE2	Nesprin-2,NUA,KIAA1011,SYNE-2,NUANCE,Nesp2,DKFZP434H2235,KASH2,Polytrophin,Syne-2,EDMD5,TROPH
RPS12	S12
KRT8P42	--
GNAS	NESP55,GNAS1,NESP,GPSA,SCG6,SgVI,GNASXL,GSP,C20orf45,XLalphas,PITA3,AHO,GSA,POH
HEPN1	HSALNG0087926
KRT8P7	--
PLCXD2-AS1	NONHSAG035720.2,HSALNG0028007,PLCXD2-AS1
NDUFS6P1	--
GJB7	CX25,BA136M9.1,Connexin-25,Connexin25,Cx25
PARP14	ARTD8,KIAA1268,PART8,PARP-14,BAL2
BASP1	NAP22,NAP-22,CAP-23,CAP23
SUMO4	DJ281H8.4,SMT3H4,SUMO-4,IDDM5
FXYD6	Phosphohippolin
ABCD1P5	HCG2042779
CNKSR3	MAGI1,FLJ31349,CNK3,CNK3/IPCEF1
MRPS9	MRP-S9,RPMS9,S9mt
TEX11	ZIP4,TSGA3,MZIP4,Spo22,TGC1,ZIP4H,SPGFX2
KYAT3	KATIII,KAT3,CCBL2,RP11-82K18.3,RBM1
TRPC7-AS2	NONHSAG041632.2,HSALNG0045089,CTB-28J9.2
TOMM40P3	--
MRPS11	HCC-2,FLJ23406,FLJ22512,MRP-S11,S11mt,RPMS11
TMEM171	PRP2
RBM48P1	--
LINC02485	NONHSAG038907.2,HSALNG0037285,LINC02485
PLK4	STK18,Sak,SAK,MCCRP2,PLK-4
C5orf15	HTGN29,KCT2
CIB4	KIP4
ZNF629	KIAA0326,ZNF65,ZNF
MIR762HG	NONHSAG019123.2,HSALNG0110791,MIR762HG
PGGT1B	GGTI,BGGI,GGTase-I-Beta,CTC-428G20.3
TDGF1P6	CRIPTO-6,CR-6,TDGF6
DZIP1L	DZIP2,FLJ32844,PKD5
MIR4519	Hsa-Mir-4519,MIMAT0019056,MI0016885
MIR762	Hsa-Mir-762,MIMAT0010313,MI0003892
CTF2P	NP,Neuropoietin
FBXL19-AS1	NCRNA00095,MGC125469,MGC125470,MGC125472,NONHSAG019125.2,HSALNG0110794,FBXL19-AS1
GOLGA6L5P	GOLGA6L8,FLJ35171,FLJ40113,GOLGA6L5
CTBP2P5	--
ORAI3	TMEM142C,MGC13024
SOWAHCP5	--
ATP1B3P1	--
GPR160P1	--
VAMP8	EDB,Endobrevin,VAMP-8
HSD3B7	C(27)-3BETA-HSD,SDR11E3,CBAS1,PFIC4
SHISAL2A	FAM159A,MGC52498,WWLS2783,PRO7171
PRC1-AS1	NONHSAG017913.2,HSALNG0108169,HSALNG0108181
SMAD5	JV5-1,MADH5,Dwfc,HSmad5,Smad5,DWFC
LDHAP3	LDHAL3
VN1R88P	--
PSG2	PSBG2,PSG1,CEA,PS-Beta-G-2,PS-Beta-E,PSBG-2,PSGGB
BUB3P1	--
HMGB1P18	--
RPL7P32	WUGSC:H_RG054D04.1,RPL7_15_834,RPL7P
GNG12-AS1	NONHSAG001765.2,Lnc-GADD45A-10,Lnc-GADD45A-9,HSALNG0004297,HSALNG0004302,HSALNG0004306,GNG12-AS1
RBPMS2	--
YPEL5	CGI-127
TMEM120A	TMPIT,NET29,TACAN
CLRN1-AS1	UCRP,CLRN1OS,NONHSAG036394.2,HSALNG0029809,CLRN1-AS1
CLCA4-AS1	NONHSAG001983.2,Lnc-SELENOF-2,HSALNG0004920
BRSK1	KIAA1811,HSAD1,SAD1,SADB
LINC02539	RP11-356I2.2,NONHSAG044952.2,HSALNG0053782,LINC02539
CHCHD6	CHCM1,PPP1R23,MICOS25,Mic25,MGC13016,MIC25
FOXO3	AF6q21,FKHRL1,FOXO3A,FOXO2,FKHRL1P2,FOXO3A-
DNTTIP2	TdIF2,ERBP,HSU15552,LPTS-RP2,TDIF2,FCF2
EFL1P1	HsT19321,EFTUD1P1,FAM42B
STX1B	STX1B1,STX1B2,Syntaxin-1B1,Syntaxin-1B2,Syntaxin-1B,GEFSP9
ST13P20	--
MTND3P12	--
LINC01555	C1orf180,FLJ35487,HSALNG0004819,LINC01555
VPS33B-DT	HSALNG0108169,VPS33B-DT
HNRNPA1P64	--
CDC40	PRPF17,PRP17,EHB3,FLJ10564,HPRP17,PCH15,Ehb3
DNAJB6P7	--
GPR174	FKSG79,GPCR17,LYPSR3
SEPTIN6	SEP2,KIAA0128,SEPT2,SEPT6,MGC16619,MGC20339,Septin-6
NAA50	NAT5,NAT13,MAK3,FLJ13194,HNaa50p,San,NAT13P,NAT5P,HNAT5,HSAN,SAN
ODF2L	KIAA1229,BCAP
MAN2C1	MANA1,MANA,MAN6A8
RNF180	RINES
GGT8P	FLJ31276,GGT1P1
MTFR2P1	--
LINC01867	NONHSAG027743.2,HSALNG0014888,LINC01867
LGALSL	GRP,HSPC159
MTRNR2L13	HN13
RRS1	KIAA0112,RRR
RPL7AP26	RPL7A_8_496
STX4	P35-2,STX4A,Syntaxin-4
LACTB2-AS1	NONHSAG050480.2,HSALNG0066070,LACTB2-AS1
PDE5A	CGB-PDE,PDE5,CN5A
SMILR	NONHSAG051147.2,HSALNG0068121,SMILR
CDKN2AIPNL	C2AIL,MGC13017
CHRNA2	--
GZMA	CTLA3,HFSP,Fragmentin-1,HF,Granzyme-1
MRE11P1	MRE11B,HMRE11B
OTOL1	C1QTNF15,C1QTNF16,Otolin-1
RGPD2	RANBP2L2,RGP2,Nucleoporin,RanBP2L2,NUP358
TM4SF18	L6D
MTND6P3	--
ZCCHC10	FLJ20094
TAS2R6P	T2R06,T2R6,TAS2R6,PS3
SF3B5	SF3b10,Ysf3,MGC3133,SF3B10,SF3b5
PAXBP1P1	--
PRKAR2B-AS1	NONHSAG048510.2,HSALNG0060403,Lnc-COG5-2
DYNLT1	TCTEX1,Tctex-1,TCTEL1,TCTEX-1,CW-1
CADPS2	CAPS2,CAPS-2,KIAA1591
LINC01323	TCONS_00005874,NONHSAG036563.2,HSALNG0030408,LINC01323
MFFP2	--
MEIKIN	--
EPS8L1	DRC3,FLJ20258,MGC23164,MGC4642,EPS8R1,PP10566
MRPL3	MRL3,RPML3,MRP-L3,L3mt,COXPD9
